protein_position,competition_label,canonical_gene_symbol,resolution,resolution_note,uniprot_accession,uniprot_entry_name,sgd_id,systematic_name,protein_name,sequence_length,sequence_sha256,string_id,biogrid_id,reactome_ids,kegg_ids,go_ids,uniprot_pathway
706,COS111,COS111,primary_exact,,P38308,CS111_YEAST,S000000407,YBR203W,F-box protein COS111 (Ciclopirox olamine sensitivity protein 111),924,24caeab4a6fe6420df462f2365304dc2bc73d521b127a074ba20155be40db6bb,4932.YBR203W,32900,,sce:YBR203W,GO:0005739; GO:0007165,
707,COS2,COS2,primary_exact,,P0CX12,COS2_YEAST,S000000506,YBR302C,Protein COS2,379,8f04511f104212e9bd1588fbd551a4f31dcf5775586ce056f37f7d91a251ef87,4932.YBR302C,32994,,sce:YBR302C;sce:YML132W,GO:0000324; GO:0005768; GO:0016020; GO:0043328,
708,COS6,COS6,primary_exact,,P53344,COS6_YEAST,S000003527,YGR295C,Protein COS6,381,481a300573f7d899e5ba8a5b6ba7c0c43c5c2d400c221cd194b3c746d1b5c09d,4932.YGR295C,33542,,sce:YGR295C,GO:0000324; GO:0005768; GO:0016020; GO:0043328,
709,COS7,COS7,primary_exact,,Q07788,COS7_YEAST,S000002407,YDL248W,Protein COS7,383,c9965a1f5a6a672cceb8bf0df3c289848ad9890eab845e9c134e759b779f69b7,4932.YDL248W,31864,,sce:YDL248W,GO:0000324; GO:0005739; GO:0005768; GO:0016020; GO:0038024; GO:0043328,
710,COS8,COS8,primary_exact,,P38723,COS8_YEAST,S000001040,YHL048W,Protein COS8,381,1f885c6df55c093e6ad15876f2eda4d91274ab612f3957c7309f41395ed6b2a4,4932.YHL048W,36377,,sce:YHL048W,GO:0000324; GO:0005635; GO:0016020; GO:0043328,
711,COS9,COS9,primary_exact,,P36034,COS9_YEAST,S000001702,YKL219W,Protein COS9,407,e9c454ed4170b0488ed3287390e44f50592625068aae7caba06588e3e79b796a,4932.YKL219W,33946,,sce:YKL219W,GO:0005768; GO:0016020; GO:0043328,
712,COT1,COT1,primary_exact,,P32798,COT1_YEAST,S000005843,YOR316C,Vacuolar zinc transporter COT1 (Cobalt toxicity protein 1),439,4d332c750797493550eeec950fcc1af47f9011d0d786b321b0a4703ad46b1022,4932.YOR316C,34703,R-SCE-425410,sce:YOR316C,GO:0000324; GO:0000329; GO:0005385; GO:0005739; GO:0006824; GO:0006829; GO:0006882; GO:0015087; GO:0045121; GO:0071577,
713,COX1,COX1,primary_exact,,P00401,COX1_YEAST,S000007260,,Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I),534,8a8fe73a53da71ae0caae34b74bf687d3d093b85fd3f7a032d620802f2ee4c81,4932.Q0045,34790,R-SCE-9837999,sce:Q0045,GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0020037; GO:0022904; GO:0031966; GO:0045277; GO:0045333; GO:0046872,PATHWAY: Energy metabolism; oxidative phosphorylation.
714,COX10,COX10,primary_exact,,P21592,COX10_YEAST,S000006093,YPL172C,"Protoheme IX farnesyltransferase, mitochondrial (EC 2.5.1.141) (Heme O synthase) (HOS)",462,c76b68928767eab1ca4da82de556e57dee2ded18018642ad6538a14b0328ca67,4932.YPL172C,36011,R-SCE-189451,sce:YPL172C,GO:0005739; GO:0006784; GO:0008495; GO:0031966; GO:0048034,PATHWAY: Porphyrin-containing compound metabolism; heme O biosynthesis; heme O from protoheme: step 1/1.
715,COX11,COX11,primary_exact,,P19516,COX11_YEAST,S000006053,YPL132W,"Cytochrome c oxidase assembly protein COX11, mitochondrial",300,05a7408552306ff9194f0908022e4a88d1a2fe98287368428210e203e3bf8330,4932.YPL132W,36049,,sce:YPL132W,GO:0005507; GO:0005739; GO:0005740; GO:0005743; GO:0005758; GO:0005761; GO:0009060; GO:0016531; GO:0033617; GO:0045454; GO:0065003; GO:1903136,
716,COX12,COX12,primary_exact,,Q01519,COX12_YEAST,S000004028,YLR038C,"Cytochrome c oxidase subunit 12, mitochondrial (Cytochrome c oxidase polypeptide VIb)",83,81f35bc7c5a00c78cf07f7595e5d9f1a66d8772b8dfef0f7a1e836469903a3d5,4932.YLR038C,31314,,sce:YLR038C,GO:0005739; GO:0005743; GO:0005758; GO:0006123; GO:0016491; GO:0031966; GO:0033617; GO:0045277; GO:0045333; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
717,COX13,COX13,primary_exact,,P32799,COX13_YEAST,S000003159,YGL191W,"Cytochrome c oxidase subunit 13, mitochondrial (Cytochrome c oxidase polypeptide VIa)",129,1212408003f52322739d53377cdbbb9e8b07a7bdb4171604ddfd0ea0d2496e48,4932.YGL191W,33065,,sce:YGL191W,GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0016491; GO:0030234; GO:0045277; GO:0097250; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
718,COX14,COX14,primary_exact,,P39103,COX14_YEAST,S000004598,YML129C,Cytochrome c oxidase assembly protein COX14,70,5c51456908f5539d5eab4a427ad4d91781e1b8342ecf72014ad0d5bdb5f3d06b,4932.YML129C,35076,,sce:YML129C,GO:0005739; GO:0005740; GO:0005743; GO:0005759; GO:0033617; GO:0050821; GO:0070130,
719,COX15,COX15,primary_exact,,P40086,COX15_YEAST,S000000943,YER141W,Heme A synthase COX15 (HAS) (EC 1.17.99.9) (Cytochrome c oxidase assembly protein COX15),486,5a509f24cf10d429eeafeae6f76b1afaa4521245b5f6edbdb809717856459ee2,4932.YER141W,36890,R-SCE-189451,sce:YER141W,GO:0005739; GO:0005743; GO:0006784; GO:0046872; GO:0120547,PATHWAY: Porphyrin-containing compound metabolism; heme A biosynthesis; heme A from heme O: step 1/1.
720,COX16,COX16,primary_exact,,P47081,COX16_YEAST,S000003540,YJL003W,"Cytochrome c oxidase assembly protein COX16, mitochondrial",118,3693d1d7a568de15ce2b4392cf29328847644286fb7e3f0ec743f1ff2f28d355,4932.YJL003W,33754,,sce:YJL003W,GO:0005739; GO:0005743; GO:0033617,
721,COX17,COX17,primary_exact,,Q12287,COX17_YEAST,S000003932,YLL009C,Cytochrome c oxidase copper chaperone,69,e47a4060aa04505e0445c40006f052e37d226e0291b69b89d1655118ded11b0e,4932.YLL009C,31242,,sce:YLL009C,GO:0005739; GO:0005758; GO:0005829; GO:0006825; GO:0016531; GO:0018343; GO:0033617; GO:1903136,
722,COX18,COX18,primary_exact,,P53239,COX18_YEAST,S000003294,YGR062C,"Cytochrome c oxidase assembly protein COX18, mitochondrial (Cytochrome c oxidase assembly protein 18)",316,2d1dbfb5c57e8ee266771b0869d3bae6b9a9e2938da97b5607ead90e1cb8db37,4932.YGR062C,33307,,sce:YGR062C,GO:0005743; GO:0032977; GO:0032979; GO:0033617,
723,COX19,COX19,primary_exact,,Q3E731,COX19_YEAST,S000007245,YLL018C-A,Cytochrome c oxidase assembly protein COX19,98,e43f3284e97a8be68e867284fdead20e21e6694f8695212d4f930736d25ca432,4932.YLL018C-A,31234,,sce:YLL018C-A,GO:0005507; GO:0005758; GO:0005829; GO:0008535; GO:0030001; GO:0033617; GO:0044183; GO:0051604,
724,COX2,COX2,primary_exact,,P00410,COX2_YEAST,S000007281,,Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II),251,28225902288f5fb6cb96d514ae8ea5c64ea8e4cfd83d6031d9bdafe1ab0ec40e,4932.Q0250,34812,,sce:Q0250,GO:0004129; GO:0005507; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0016491; GO:0031966; GO:0042773; GO:0045277,
725,COX20,COX20,primary_exact,,Q04935,COX20_YEAST,S000002639,YDR231C,"Cytochrome c oxidase assembly protein COX20, mitochondrial",205,0010bb41c1665c983ad4cd796c02ff2ed82338bf77f20b923c9a838d4c258f2e,4932.YDR231C,32282,,sce:YDR231C,GO:0005739; GO:0005743; GO:0033617; GO:0043069; GO:0051082,
726,COX23,COX23,primary_exact,,P38824,COX23_YEAST,S000001158,YHR116W,"Cytochrome c oxidase-assembly factor COX23, mitochondrial",151,dfcdde5e781ea1a7b3e5cbde955d7f64bbf349408cca216999c3a9160bdca559,4932.YHR116W,36549,,sce:YHR116W,GO:0005737; GO:0005739; GO:0005758; GO:0033108; GO:0033617,
727,COX26,COX26,primary_exact,,Q2V2P9,COX26_YEAST,S000113555,YDR119W-A,"Cytochrome c oxidase subunit 26, mitochondrial",66,b397dd02aec0065a8ca101c06bb3162347054e6834c3210578eba8a5125be4fe,4932.YDR119W-A,531941,,sce:YDR119W-A,GO:0005739; GO:0005743; GO:0045277; GO:0098803,
728,COX3,COX3,primary_exact,,P00420,COX3_YEAST,S000007283,,Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III),269,2c74006748c4e51d91fe4d7a0d44c59cdf958a0949659e642009ece5ae95a110,4932.Q0275,34817,,sce:Q0275,GO:0004129; GO:0005739; GO:0005743; GO:0006123; GO:0009060; GO:0031966; GO:0045277; GO:0045333; GO:0048039,
729,COX4,COX4,primary_exact,,P04037,COX4_YEAST,S000003155,YGL187C,"Cytochrome c oxidase subunit 4, mitochondrial (Cytochrome c oxidase polypeptide IV)",155,d77c8dd1c704bb5ca14566e1a0f4ca61d14dda8b7e64d0171e5d231f9bd6b5dc,4932.YGL187C,33068,R-SCE-9837999,sce:YGL187C,GO:0005739; GO:0005743; GO:0005758; GO:0006123; GO:0008270; GO:0016491; GO:0033617; GO:0045277; GO:1902600; GO:1990145,PATHWAY: Energy metabolism; oxidative phosphorylation.
730,COX5A,COX5A,primary_exact,,P00424,COX5A_YEAST,S000004997,YNL052W,"Cytochrome c oxidase subunit 5A, mitochondrial (Cytochrome c oxidase polypeptide Va)",153,2612ec474cd0aee8dfd6af33e1e8f7d6d71ba0248551b1d122ca610af51e529a,4932.YNL052W,35772,,sce:YNL052W,GO:0005739; GO:0005743; GO:0005758; GO:0006123; GO:0016491; GO:0045277; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
731,COX5B,COX5B,primary_exact,,P00425,COX5B_YEAST,S000001373,YIL111W,"Cytochrome c oxidase subunit 5B, mitochondrial (Cytochrome c oxidase polypeptide Vb)",151,71559828d176b0ce29d749eaf0a865df0d071455727a967fc57ec29b5735183f,4932.YIL111W,34880,,sce:YIL111W,GO:0005739; GO:0005743; GO:0006123; GO:0016491; GO:0045277; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
732,COX6,COX6,primary_exact,,P00427,COX6_YEAST,S000001093,YHR051W,"Cytochrome c oxidase subunit 6, mitochondrial (Cytochrome c oxidase polypeptide VI)",148,54d6ff2d8dfb55feb78cefad884a00e2f220d0d9ba575cb57b46a539e0e0b57a,4932.YHR051W,36483,R-SCE-9837999,sce:YHR051W,GO:0005739; GO:0005743; GO:0006123; GO:0016491; GO:0045277; GO:0046872; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
733,COX7,COX7,primary_exact,,P10174,COX7_YEAST,S000004869,YMR256C,"Cytochrome c oxidase subunit 7, mitochondrial (Cytochrome c oxidase polypeptide VII)",60,b54867d1468ef6ae585d4409a7327e6d6b1cd9bf51b8971162889966b5aab43c,4932.YMR256C,35434,,sce:YMR256C,GO:0005739; GO:0005743; GO:0006123; GO:0016491; GO:0031966; GO:0045277; GO:0045333; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
734,COX8,COX8,primary_exact,,P04039,COX8_YEAST,S000004387,YLR395C,"Cytochrome c oxidase subunit 8, mitochondrial (Cytochrome c oxidase polypeptide VIII)",78,eb986103342a46a5dbd74e2aed24ee221a04b15e759fa232a93f7a9999553caa,4932.YLR395C,31654,,sce:YLR395C,GO:0005739; GO:0005743; GO:0006123; GO:0016491; GO:0045277; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
735,COX9,COX9,primary_exact,,P07255,COX9_YEAST,S000002225,YDL067C,"Cytochrome c oxidase subunit 9, mitochondrial (Cytochrome c oxidase polypeptide VIIA)",59,61da66ec5ee683d3519d82ccd58fedd8708029c1f5fb2c5f6731c0f37c980040,4932.YDL067C,31992,,sce:YDL067C,GO:0005739; GO:0005743; GO:0006123; GO:0016491; GO:0045277; GO:1902600,PATHWAY: Energy metabolism; oxidative phosphorylation.
736,COY1,COY1,primary_exact,,P34237,CASP_YEAST,S000001662,YKL179C,Protein CASP,679,fe2e23672dafce25ce38faff07dc6b7d02540666f5d7ac051d1bda61d711f921,4932.YKL179C,33960,,sce:YKL179C,GO:0000139; GO:0000149; GO:0006891; GO:0048193; GO:0048211,
737,CPA1,CPA1,primary_exact,,P07258,CARA_YEAST,S000005829,YOR303W,"Carbamoyl phosphate synthase arginine-specific small chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.5.5) (Arginine-specific carbamoyl phosphate synthetase, glutamine chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)",411,957c811037c4f9d6b7cb2f1fc9d4f9d4d8e15abe709fd005ffe657722cb01b0e,4932.YOR303W,34691,,sce:YOR303W,GO:0004088; GO:0004359; GO:0005524; GO:0005737; GO:0005951; GO:0006207; GO:0006221; GO:0006526; GO:0006541; GO:0010494,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000305|PubMed:5856369}.
738,CPA2,CPA2,primary_exact,,P03965,CARB_YEAST,S000003870,YJR109C,"Carbamoyl phosphate synthase arginine-specific large chain (CPS) (CPSase) (CPSase-arg) (EC 6.3.4.16) (EC 6.3.5.5) (Ammonium-dependent carbamoyl phosphate synthetase) (Arginine-specific carbamoyl phosphate synthetase, ammonia chain) (Carbamoyl phosphate synthase A) (CPS-A) (Glutamine-dependent carbamoyl phosphate synthetase)",1118,90000ee0039ac1fbbbcd821876fab10116ac797e8c98733725c44c9cbe549764,4932.YJR109C,33865,R-SCE-70635,sce:YJR109C,GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005951; GO:0006221; GO:0006526; GO:0046872,PATHWAY: Amino-acid biosynthesis; L-arginine biosynthesis; carbamoyl phosphate from bicarbonate: step 1/1. {ECO:0000305|PubMed:5856369}.
739,CPD1,CPD1,primary_exact,,P53314,CPD1_YEAST,S000003479,YGR247W,"2',3'-cyclic-nucleotide 3'-phosphodiesterase (CPDase) (EC 3.1.4.37)",239,eca7bdeb7e2a58180770cca6cf0f9ad856abbd102806ae2ebcdc38941d02fc68,4932.YGR247W,33498,,sce:YGR247W,GO:0004113; GO:0005794; GO:0009187; GO:0030136,
740,CPP1,CPP1,primary_exact,,P38216,CTPP1_YEAST,S000000220,YBR016W,Lipid-anchored plasma membrane protein CPP1 (C-terminally palmitoylated protein CPP1) (Cysteine-rich protein CPP1),128,a03b14a5a486f4d23436f8db8700534a01e99298dd6eb005c4b19f3afe742151,4932.YBR016W,32719,,sce:YBR016W,GO:0005886; GO:0033101; GO:0070250,
741,CPR1,CPR1,primary_exact,,P14832,CYPH_YEAST,S000002562,YDR155C,Peptidyl-prolyl cis-trans isomerase (PPIase) (EC 5.2.1.8) (Cyclophilin) (CPH) (Cyclosporin A-binding protein) (PPI-II) (Rotamase),162,25eaf7ff210058de7742e6597814749138b22d5e639c47337c883b55e0ac5690,4932.YDR155C,32207,R-SCE-6798695,sce:YDR155C,GO:0003729; GO:0003755; GO:0005634; GO:0005737; GO:0005739; GO:0005758; GO:0006457; GO:0006974; GO:0009267; GO:0015031; GO:0016018; GO:0030437; GO:0034967; GO:0045835; GO:0045836,
742,CPR2,CPR2,primary_exact,,P23285,CYPB_YEAST,S000001099,YHR057C,Peptidyl-prolyl cis-trans isomerase B (PPIase B) (EC 5.2.1.8) (Cyclophilin B) (Cyclophilin-related protein) (Rotamase B),205,c9e06685687023a01ceb84e69a5582f3a970f7d9c1e91259ac5c3ae2a1ef17d1,4932.YHR057C,36489,,sce:YHR057C,GO:0000324; GO:0003755; GO:0005576; GO:0005737; GO:0005783; GO:0006457; GO:0016018,
743,CPR3,CPR3,primary_exact,,P25719,CYPC_YEAST,S000004543,YML078W,"Peptidyl-prolyl cis-trans isomerase C, mitochondrial (PPIase C) (EC 5.2.1.8) (Cyclophilin C) (PPI-III) (Rotamase C)",182,c9bb2ecbe88f6d66a4e398839a5ff870aa538407f8e4bd2709e8df59f30cd32f,4932.YML078W,35063,R-SCE-6798695,sce:YML078W,GO:0003755; GO:0005737; GO:0005739; GO:0005759; GO:0006457; GO:0006915; GO:0016018,
744,CPR4,CPR4,primary_exact,,P25334,CYPR_YEAST,S000000665,YCR069W,Peptidyl-prolyl cis-trans isomerase CPR4 (PPIase CPR4) (EC 5.2.1.8) (Rotamase),318,f3bde51bf9aab495982dff40ca854b7b87bc9e51ee4a97d48f4ed3bf0495f02c,4932.YCR069W,31045,,sce:YCR069W,GO:0000324; GO:0003755; GO:0005737; GO:0005783; GO:0006457; GO:0016018; GO:0016020,
745,CPR5,CPR5,primary_exact,,P35176,CYPD_YEAST,S000002712,YDR304C,Peptidyl-prolyl cis-trans isomerase D (PPIase D) (EC 5.2.1.8) (Cyclophilin D) (Cyclosporin-sensitive proline rotamase 5) (Rotamase D),225,a45fd178ebf2da056c210f549fb045efac0edb7b3b24d3193a9c726063580710,4932.YDR304C,32356,,sce:YDR304C,GO:0003755; GO:0005737; GO:0005783; GO:0005788; GO:0006457; GO:0016018,
746,CPR6,CPR6,primary_exact,,P53691,PPID_YEAST,S000004206,YLR216C,Peptidyl-prolyl cis-trans isomerase CPR6 (PPIase CPR6) (EC 5.2.1.8) (Rotamase CPR6),371,6a14b6d03e5a64f659b9c83c02aaa0b53e95a107467356e38178fe2c03883899,4932.YLR216C,31484,R-SCE-6782135;R-SCE-6782210;R-SCE-6798695,sce:YLR216C,GO:0003755; GO:0005737; GO:0006457; GO:0016018; GO:0042026; GO:0043022; GO:0051082,
747,CPR7,CPR7,primary_exact,,P47103,CYP7_YEAST,S000003793,YJR032W,Peptidyl-prolyl cis-trans isomerase CYP7 (PPIase CYP7) (EC 5.2.1.8) (Rotamase CYP7),393,c19fc1914fd7b4aedecfe219d556a583dd1c444f01fe55708f5a046732f72e8f,4932.YJR032W,33785,R-SCE-8939211,sce:YJR032W,GO:0003755; GO:0005737; GO:0005829; GO:0006457; GO:0016018; GO:0042026; GO:0051082,
748,CPR8,CPR8,primary_exact,,P53728,CYP8_YEAST,S000005311,YNR028W,Peptidyl-prolyl cis-trans isomerase CYP8 (PPIase CYP8) (EC 5.2.1.8) (Rotamase CYP8),308,06fddf0819624cd620074ed130116c5952be86da2a8ed6bb93e3d7a49df55370,4932.YNR028W,35852,,sce:YNR028W,GO:0000324; GO:0003755; GO:0005737; GO:0005783; GO:0006457; GO:0016018,
749,CPS1,CPS1,primary_exact,,P27614,CBPS_YEAST,S000003708,YJL172W,Carboxypeptidase S (EC 3.4.17.4) (GLY-X carboxypeptidase) (YSCS),576,f57ebf2c10932ecf41490b80e5c02da4bde66314999b5a33d05d2d2e9e1024cb,4932.YJL172W,33588,R-SCE-9673163,sce:YJL172W,GO:0000324; GO:0000328; GO:0004180; GO:0004181; GO:0005774; GO:0005775; GO:0046872; GO:0051603,
750,CPT1,CPT1,primary_exact,,P17898,CPT1_YEAST,S000005074,YNL130C,"Cholinephosphotransferase 1 (EC 2.7.8.2) (Aminoalcohol phosphotransferase CPT1) (Diacylglycerol cholinephosphotransferase 1) (Sn-1,2-diacylglycerol cholinephosphotransferase) (CHOPT)",393,6219412fb379a35570fd5fdaf94ee9a477455ccaf0421941353c055d17269000,4932.YNL130C,35697,R-SCE-1483191;R-SCE-1483213,sce:YNL130C,GO:0004142; GO:0005741; GO:0005783; GO:0005789; GO:0005794; GO:0006657; GO:0046872,PATHWAY: Phospholipid metabolism; phosphatidylcholine biosynthesis; phosphatidylcholine from phosphocholine: step 2/2.
751,CRC1,CRC1,primary_exact,,Q12289,CRC1_YEAST,S000005626,YOR100C,Mitochondrial carnitine carrier,327,87a28283c7fa9cdb23afa7cc933bac4b10070be332e2b0e4bbc52600950b0eab,4932.YOR100C,34498,R-SCE-200425,sce:YOR100C,GO:0005476; GO:0005739; GO:0005740; GO:0005743; GO:0006631; GO:0006839; GO:0015227; GO:1902603,
752,CRD1,CRD1,primary_exact,,Q07560,CRLS1_YEAST,S000002301,YDL142C,Cardiolipin synthase (CMP-forming) (CLS) (EC 2.7.8.41),283,e7237e8aef07b554c5ee4fab62ffef0670a3990d4b243ee5e6e2a1f03499df73,4932.YDL142C,31919,R-SCE-1482925;R-SCE-1483076,sce:YDL142C,GO:0005739; GO:0005743; GO:0006612; GO:0006644; GO:0006873; GO:0007006; GO:0008610; GO:0032049; GO:0043337,
753,CRG1,CRG1,primary_exact,,P38892,CRG1_YEAST,S000001252,YHR209W,Probable S-adenosylmethionine-dependent methyltransferase CRG1 (EC 2.1.1.-) (Cantharidin resistance protein 1),291,68fd41a4b6fa20394cf43527cdc68bd4bfcbe1517a02f5b567d24cebbb2d6763,4932.YHR209W,36643,,sce:YHR209W,GO:0003729; GO:0005737; GO:0008168; GO:0008757; GO:0032259; GO:0055088,
754,CRH1,CRH1,primary_exact,,P53301,CRH1_YEAST,S000003421,YGR189C,Congo red hypersensitive protein 1 [Includes: Chitinase CRH1 (EC 3.2.1.14); Chitin transglycosylase CRH1 (EC 2.4.-.-)],507,cf9e2e8ed66f8692edfb4097d878ae1656d96a65cb58b59004df808442c209db,4932.YGR189C,33442,,sce:YGR189C,GO:0000131; GO:0005576; GO:0005975; GO:0006030; GO:0008843; GO:0009277; GO:0016757; GO:0031505; GO:0071944; GO:0098552,
755,CRM1,CRM1,primary_exact,,P30822,XPO1_YEAST,S000003450,YGR218W,Exportin-1 (Chromosome region maintenance protein 1) (Karyopherin-124),1084,1ba6d40c871b21fd5544cd720e7efe4f58c8edc09f2a1b6989662c93688a53e7,4932.YGR218W,33472,R-SCE-5687128;R-SCE-9856649,sce:YGR218W,GO:0000055; GO:0000056; GO:0000776; GO:0005049; GO:0005634; GO:0005737; GO:0005816; GO:0006406; GO:0006409; GO:0006611; GO:0017070; GO:0030619; GO:0030620; GO:0030621; GO:0030623; GO:0031267; GO:0034501; GO:0048471; GO:0051168; GO:0061608; GO:0071528,
756,CRN1,CRN1,primary_exact,,Q06440,CORO_YEAST,S000004421,YLR429W,Coronin-like protein,651,ac0de2349d12d2ee794f6d5b7f7e07733374b9f3183e5dee54870ef7ac538c80,4932.YLR429W,31688,,sce:YLR429W,GO:0005884; GO:0005886; GO:0007015; GO:0007017; GO:0008017; GO:0030479; GO:0030674; GO:0034316; GO:0051015; GO:0051666; GO:0071846; GO:0071933; GO:2000601,
757,CRP1,CRP1,primary_exact,,P38845,CRP1_YEAST,S000001189,YHR146W,Cruciform DNA-recognizing protein 1 [Cleaved into: CRP1 short N-terminal subpeptide; CRP1 short C-terminal subpeptide],465,dbd87a83d6fc84aae2cbf8b87c15f025de49e8919d3b5e4e58a01f6240a0fb75,4932.YHR146W,36580,R-SCE-1632852;R-SCE-163680;R-SCE-200425;R-SCE-380972,sce:YHR146W,GO:0003677; GO:0005634; GO:0005737; GO:0007165; GO:0019901; GO:0031588; GO:0071944,
758,CRS5,CRS5,primary_exact,,P41902,CRS5_YEAST,S000005557,YOR031W,Metallothionein-like protein CRS5,69,b20ab7bb0ec304acb914144b7b3c69cefc96089f5d49ceac483a10085b7dff54,,34433,,,GO:0005507; GO:0005737; GO:0010038,
759,CRT10,CRT10,primary_exact,,Q08226,CRT10_YEAST,S000005424,YOL063C,Protein CRT10 (Constitutive RNR transcription regulator 10),957,cd3543ce172ecfd4cd333ede97c54cda1f907db8d82baf7653b8255aec080ac0,4932.YOL063C,34338,,sce:YOL063C,GO:0006351; GO:0070651,
760,CRZ1,CRZ1,primary_exact,,P53968,CRZ1_YEAST,S000004972,YNL027W,Transcriptional regulator CRZ1,678,1da7ed71fb30404e6315f225d401c2bab87b150cf36d443c4584f0fae5696eeb,4932.YNL027W,35799,R-SCE-3232118;R-SCE-6807505,sce:YNL027W,GO:0000978; GO:0000981; GO:0000987; GO:0001228; GO:0005634; GO:0005737; GO:0006031; GO:0006351; GO:0006357; GO:0008270; GO:0010765; GO:0030007; GO:0043565; GO:0045944; GO:0050801; GO:0071277; GO:0071444; GO:0071469; GO:0071475; GO:0071483; GO:2001040,
761,CSC1,CSC1,primary_exact,,Q06538,CSC1_YEAST,S000004231,YLR241W,Calcium permeable stress-gated cation channel 1 (ScCSC1),782,21551745281111a590166263c16074607af3c13292310dc342e91f6fe730c37e,4932.YLR241W,31508,R-SCE-6798695,sce:YLR241W,GO:0000329; GO:0005227; GO:0005783; GO:0005886; GO:0006812,
762,CSE1,CSE1,primary_exact,,P33307,CSE1_YEAST,S000003207,YGL238W,Importin alpha re-exporter (Chromosome segregation protein CSE1),960,21f58f1ca92c2c7e6a0ee5af2b0e31e3c2a5dfaddeaedfd5901b5d19d49a14e2,4932.YGL238W,33001,,sce:YGL238W,GO:0005049; GO:0005635; GO:0005829; GO:0006611; GO:0031267; GO:0032991; GO:0046827; GO:0051301; GO:0061015,
763,CSE2,CSE2,primary_exact,,P33308,MED9_YEAST,S000005293,YNR010W,Mediator of RNA polymerase II transcription subunit 9 (Chromosome segregation protein 2) (Mediator complex subunit 9),149,7597e4dc4df608fc06b80182140905bd54606823aec51e42448839e5cd60cef4,4932.YNR010W,35835,,sce:YNR010W,GO:0000122; GO:0003713; GO:0005198; GO:0005634; GO:0005829; GO:0016592; GO:0032968; GO:0045944; GO:0051123; GO:0060261; GO:0070847,
764,CSE4,CSE4,primary_exact,,P36012,CENPA_YEAST,S000001532,YKL049C,Histone H3-like centromeric protein CSE4 (CENP-A homolog) (CENPA homolog) (Chromosome segregation protein 4),229,be2540a86cb34de052ff16a9f547aeff64520bca005d2cf8d9d10a6d08489bc7,4932.YKL049C,34084,,sce:YKL049C,GO:0000070; GO:0000278; GO:0000776; GO:0000779; GO:0005634; GO:0005729; GO:0005777; GO:0007080; GO:0019237; GO:0030527; GO:0030543; GO:0031492; GO:0031507; GO:0043505; GO:0043565; GO:0046982; GO:0051382; GO:0061644,
765,CSF1,CSF1,primary_exact,,Q12150,CSF1_YEAST,S000004077,YLR087C,Protein CSF1 (Bridge-like lipid transfer protein family member 1) (BLTP1) (Cold sensitive for fermentation protein 1),2958,64da3195297a3fb363d19c2bf28d8d7eb1983de015b1ea2db2ad86bc36b5c58f,4932.YLR087C,31360,,sce:YLR087C,GO:0005739; GO:0005789; GO:0005886; GO:0031966; GO:0051604; GO:0055091; GO:0120009; GO:0140268; GO:1904121,
766,CSG2,CSG2,primary_exact,,P35206,CSG2_YEAST,S000000240,YBR036C,Mannosyl phosphorylinositol ceramide synthase regulatory protein CSG2,410,ba5b5d55f188e985f150071d995428f3a71c1fa6c196ddb486eb310fbd21f1e8,4932.YBR036C,32737,,sce:YBR036C,GO:0000324; GO:0005783; GO:0005789; GO:0005794; GO:0006676; GO:0006688; GO:0006874; GO:0015278; GO:0030234; GO:0032469; GO:1903514,
767,CSH1,CSH1,primary_exact,,P38287,CSH1_YEAST,S000000365,YBR161W,Mannosyl phosphorylinositol ceramide synthase CSH1 (EC 2.4.1.370) (CSG1/SUR1 homolog 1),376,fdd34685b7ee1f04988fc65dddd12b3a90149866dec35b967882c4b3517d1105,4932.YBR161W,32860,,sce:YBR161W,GO:0000030; GO:0000324; GO:0005774; GO:0005794; GO:0006676; GO:0006688; GO:0030148; GO:0031501; GO:0051999; GO:0103064,
